STuff1,Date,Stuff2,Stuff3,,,,,,
314 Sa1 al¬Shash ,291, 05/R ,3.06, 0065. As preceding.,,,,,
315 Sa1 al¬Shash ,292, 01/R ,2.93, 0510. Obv: --.,,,,,
316 Sa1 alShash ,292, 02/R , 0.75 f ,1195,,,,,
317 Sa1 alShash ,292, 04/R , 1.95 f ,655,,,,,
318 Sa1 al¬Shash ,292, 04/R , 1.03 f ,995,,,,,
319 Sa1 al¬Shash ,292, 05/R , 1.22 f ,786,,,,,
320 Sa1 al¬Shash ,292, 06/R ,2.69,269,,,,,
321 Sa1 alShash ,292, 06/R , 1.13 f ,954,,,,,
322 Sa1 al¬Shash ,292, 07/R , 1.52 f ,887,,,,,
323 Sa1 al¬Shash ,292, 08/R , 2.91 v ,322,,,,,
324 Sa1 al¬Shash ,292, 09/R , 0.96 f ,996,,,,,
325 Sa1 al¬Shash ,292, 11/R , 3.16 g ,359,,,,,
326 Sa1 al¬Shash ,292, 21/R , 2.89 h ,22,,,,,
327 Sa1 al¬Shash ,293, 01/R ,2.96,1379,,,,,
328 Sa1 al¬Shash ,293, 01/R , 1.71 f ,893,,,,,
329 Sa1 alShash ,293, 01/R , 0.77 f ,1190,,,,,
330 Sa1 alShash ,293, 02/R , 1.94 f ,1302,,,,,
331 Sa1 al¬Shash ,293, 03/R ,3.13,160,,,,,
332 Sa1 al¬Shash ,293, 03/R , 1.81 f ,1248,,,,,
333 Sa1 alShash ,293, 03/R , 1.64 f ,1276,,,,,
334 Sa1 alShash ,293, 03/R , 1.31 f ,866,,,,,
335 Sa1 alShash ,293, 03/R , 1.26 f ,795,,,,,
336 Sa1 alShash ,293, 04/R , 1.05 f ,757,,,,,
337 Sa1 al¬Shash ,293, 05/R ,2.77,417,,,,,
338 Sa1 al¬Shash ,293, 06/R ,3.03,52,,,,,
339 Sa1 al¬Shash ,293, 10/R ,2.91,1388,,,,,
340 Sa1 al¬Shash ,293, 13/R , 2.74 h ,568,,,,,
341 Sa1 al¬Shash ,294, 01/R ,2.86,522,,,,,
342 Sa1 al¬Shash ,294, 02/R ,3.12,419,,,,,
343 Sa1 al¬Shash ,294, 02/R ,2.55,255,,,,,
344 Sa1 al¬Shash ,294, 06/R , 3.06 g ,136,,,,,
345 Sa1 al¬Shash ,294, 09/R , 0.71 f ,1005,,,,,
346 Sa1 al¬Shash ,294, 14/R ,2.94,459,,,,,
347 Sa1 al¬Shash ,294, 16/R , 1.25 cf ,783,,,,,
348 Sa1 al¬Shash ,294, 20/R , 1.38 f ,656,,,,,
349 Sa1 alShash ,296, 16/R , 1.15 f , 1155. Rev: alMuktafi billah/Isma`il b Ahmad.,,,,,
,0,,,,,,,,
Ahmad b. Isma`il,0,,,,,,,,
350 Sa1 Andaraba ,296, 01/R07 ,2.88, 0405. Obv: alMuqtadir billah. Rev: Ahmad b Isma`il.,,,,,
351 Sa1 Andaraba ,296, 05/R08 , 2.57 f ,1107,,,,,
352 Sa1 Andaraba ,296, 10/R10 ,4.07,86,,,,,
353 Sa1 Andaraba ,296, 17/R13 , 0.85 f ,815,,,,,
354 Sa1 Andaraba ,299, 09/R27 ,3.09, 0376. Obv: Abu Nasr. Rev: alMuqtadir billah/Ahmad b Isma`il.,,,,,
355 Sa1 Andaraba ,299, 15/R16 , 2.24 f ,1251,,,,,
356 Sa1 Andaraba ,299, 17/R19 ,3.04,218,,,,,
357 Sa1 Andaraba ,299, 26/R13 , 1.64 f ,1117,,,,,
358 Sa1 Andaraba ,300, , 1.24 f , 1227. Obv: Abu Nasr. Rev: alMuqtadir billah/Ahmad b Isma`il.,,,,,
359 Sa1 Andaraba ,300, 04/R02 , 1.93 f ,1001,,,,,
360 Sa1 Andaraba ,300, 09/R05 ,2.93,265,,,,,
361 Sa1 Andaraba ,300, 12/R10 , 1.62 f ,991,,,,,
362 Sa1 Andaraba ,301, 01/R04 ,2.97, 0372. Obv: alMuqtadir billah. Rev: Ahmad b Isma`il/alQudra.,,,,,
363 Sa1 Andaraba ,301, 02/R ,2.96,475,,,,,
364 Sa1 Andaraba ,301, 03/R26 ,3.19,332,,,,,
365 Sa1 Andaraba ,301, 07/R10 , 1.61 f ,934,,,,,
366 Sa1 Andaraba ,301, 17/R02 , 1.78 fh ,1236,,,,,
367 Sa1 Andaraba ,302, 02/R01 ,3.02, 0112 Obv: alMuqtadir billah. Rev: Ahmad b Isma`il/alQudra. Old rev die.,,,,,
368 Sa1 Andaraba ,302, 02/R01 , 1.85 f ,1016,,,,,
369 Sa1 Andaraba ,302, 02/R01 , 1.61 f ,917,,,,,
370 Sa1 Balkh ,300, 02/R01 , 0.67 f , 1288. Obv: alMuqtadir billah. Rev: alMuqtadir billah.,,,,,
371 Sa1 Qaristan ,299, 01/R , 3.08 g ," 0411. Obv: ""A Nasr"" =Abu Nasr. Rev: alMuqtadir billah/Ahmad b Isma`il.",,,,,
372 Sa1 Samarqand ,295, 08/R , 2.26 f , 0732. Rev: alMuktafi billah/Ahmad b Isma`il.,,,,,
373 Sa1 Samarqand ,295, 08/R ,3.08, 0075. Rev: alMuqtadir billah/Ahmad b Isma`il.,,,,,
374 Sa1 Samarqand ,296, 02/R , 1.73 fg ,690,,,,,
375 Sa1 Samarqand ,297, 01/R ,2.98,549,,,,,
376 Sa1 Samarqand ,297, 01/R ,2.81,76,,,,,
377 Sa1 Samarqand ,297, 05/R ,2.67,147,,,,,
378 Sa1 Samarqand ,297, 05/R , 1.57 f ,1390,,,,,
379 Sa1 Samarqand ,297, 06/R ,2.97,307,,,,,
380 Sa1 Samarqand ,298, 02/R ,2.91,83,,,,,
381 Sa1 Samarqand ,2959, 1.04 f ,1132,,,,,,
382 Sa1 Samarqand ,299, 1.23 f ,921,,,,,,
383 Sa1 Samarqand ,299, 01/R ,3.1,540,,,,,
384 Sa1 Samarqand ,299, 02/R ,2.92,563,,,,,
385 Sa1 Samarqand ,299, 02/R , 1.97 f ,1307,,,,,
386 Sa1 Samarqand ,299, 05/R ,3.43,328,,,,,
387 Sa1 Samarqand ,299, 08/R11 , 2.50 gh ,581,,,,,
388 Sa1 Samarqand ,299, 09/R ,2.94,245,,,,,
389 Sa1 Samarqand ,299, 10/R10 , 1.21 cf ,628,,,,,
390 Sa1 Samarqand ,300, 01/R07 , 1.32 fh ,853,,,,,
391 Sa1 Samarqand ,300, 03/R , 1.65 f ,884,,,,,
392 Sa1 Samarqand ,300, 06/R ,2.96,141,,,,,
393 Sa1 Samarqand ,300, 08/R , 1.93 f ,888,,,,,
394 Sa1 Samarqand ,300, 08/R , 1.02 f ,1218,,,,,
395 Sa1 Samarqand ,300, 08/R11 , 0.92 f ,857,,,,,
396 Sa1 Samarqand ,300, 11/R ,3.52,381,,,,,
397 Sa1 Samarqand ,300, 11/R , 1.73 fg ,1359,,,,,
398 Sa1 Samarqand ,300, 11/R , 0.83 f ,957,,,,,
399 Sa1 Samarqand ,301, 06/R09A ,2.86,268,,,,,
400 Sa1 al¬Shash ,294, 295- mule , 07/R ,3.02, 0168. Old obv die. Rev: alMuqtadir billah/Ahmad b Isma`il.,,,,
401 Sa1 alShash ,294, 295- mule , 07/R , 0.70 f , 1283 Old obv die. Rev: alMuqtadir billah/Ahmad b Isma`il.,,,,
402 Sa1 al¬Shash ,295, 03/R ,3.11, 0368. Rev: alMuktafi billah/ Ahmad b Isma`il.,,,,,
403 Sa1 al¬Shash ,295, 03/R ,2.84,172,,,,,
404 Sa1 al¬Shash ,295, 03/R ,2.78,344,,,,,
405 Sa1 al¬Shash ,295, 05/R ,3.1,238,,,,,
406 Sa1 al¬Shash ,295, 07/R ,2.91,150,,,,,
407 Sa1 al¬Shash ,295, 08/R ,3.5,260,,,,,
408 Sa1 al¬Shash ,295, 09/R , 2.30 f ,978,,,,,
409 Sa1 al¬Shash ,295, 12/R ,2.72,113,,,,,
410 Sa1 al¬Shash ,295, 20/R ,2.94,394,,,,,
411 Sa1 al¬Shash ,295, 04/R ,3.68, 0468. Rev: alMuqtadir billah/ Ahmad b Isma`il.,,,,,
412 Sa1 al¬Shash ,296, 10/R , 1.71 fh ,1224,,,,,
413 Sa1 al¬Shash ,296, 06/R ,2.84,191,,,,,
414 Sa1 al¬Shash ,296, 07/R , 1.95 f ,1073,,,,,
415 Sa1 al¬Shash ,296, 08/R , 1.60 f ,1374,,,,,
416 Sa1 alShash ,296, 10/R , 0.70 f ,1008,,,,,
417 Sa1 al¬Shash ,296, 17/R , 2.62 h ,471,,,,,
418 Sa1 al¬Shash ,296, 19/R ,3.56,129,,,,,
419 Sa1 al¬Shash ,297,2.73,274,,,,,,
420 Sa1 alShash ,297, 1.66 fh ,1121,,,,,,
421 Sa1 al¬Shash ,297, 02/R , 3.28 g ,343,,,,,
422 Sa1 alShash ,297, 05/R , 1.05 f ,1262,,,,,
423 Sa1 al¬Shash ,297, 09/R , 2.65 g ,252,,,,,
424 Sa1 alShash ,297, 09/R , 1.44 f ,762,,,,,
425 Sa1 alShash ,297, 14/R , 1.45 f ,1114,,,,,
426 Sa1 al¬Shash ,297, 17/R , 0.93 f ,1367,,,,,
427 Sa1 al¬Shash ,297, 23/R14 ,2.92,50,,,,,
428 Sa1 al¬Shash ,297, 28/R , 1.97 f ,682,,,,,
429 Sa1 al¬Shash ,297, 39/R22 , 1.67 f ,1295,,,,,
430 Sa1 al¬Shash ,297, 42/R , 3.09 g ,183,,,,,
431 Sa1 al¬Shash ,297, 42/R , 3.01 c ,122,,,,,
432 Sa1 alShash ,297, 43/R , 1.50 f ,1006,,,,,
433 Sa1 al¬Shash ,298,2.93,251,,,,,,
434 Sa1 al¬Shash ,298,2.85,164,,,,,,
435 Sa1 al¬Shash ,298, 1.94 f ,1293,,,,,,
436 Sa1 al¬Shash ,298, 1.47 f ,1317,,,,,,
437 Sa1 alShash ,298, 1.41 f ,1018,,,,,,
438 Sa1 al¬Shash ,298, 03/R23 , 1.72 f ,1254,,,,,
439 Sa1 al¬Shash ,298, 04/R ,2.96,294,,,,,
440 Sa1 alShash ,298, 04/R , 0.43 f ,1097,,,,,
441 Sa1 al¬Shash ,298, 05/R ,2.64,162,,,,,
442 Sa1 al¬Shash ,298, 07/R , 2.66 e ,533,,,,,
443 Sa1 al¬Shash ,298, 08/R , 1.36 f ,1060,,,,,
444 Sa1 al¬Shash ,298, 10/R ,2.88,149,,,,,
445 Sa1 al¬Shash ,298, 11/R02 ,3.32,225,,,,,
446 Sa1 al¬Shash ,298, 22/R ,3.39,525,,,,,
447 Sa1 al¬Shash ,298, 31/R ,3.45,338,,,,,
448 Sa1 alShash ,298, 32/R , 1.60 f ,663,,,,,
449 Sa1 al¬Shash ,298, 37/R ,3.04,350,,,,,
450 Sa1 al¬Shash ,298, 39/R , 1.70 f ,915,,,,,
451 Sa1 alShash ,298, 41/R , 1.75 f ,1042,,,,,
452 Sa1 alShash ,29799, 1.56 f ,985,,,,,,
453 Sa1 al¬Shash ,299, 01/R ,2.86,329,,,,,
454 Sa1 al¬Shash ,299, 01/R , 2.20 f ,733,,,,,
455 Sa1 alShash ,299, 04/R , 1.38 f ,638,,,,,
456 Sa1 alShash ,299, 04/R , 0.97 f ,858,,,,,
457 Sa1 al¬Shash ,299, 08/R06 ,2.81,423,,,,,
458 Sa1 alShash ,299, 19/R , 1.70 f ,1125,,,,,
459 Sa1 al¬Shash ,299, 21/R , 1.64 f ,963,,,,,
460 Sa1 al¬Shash ,299, 26/R ,3.03,493,,,,,
461 Sa1 al¬Shash ,299, 39/R , 3.18 h ,566,,,,,
462 Sa1 al¬Shash ,300, 01/R ,3.06,495,,,,,
463 Sa1 al¬Shash ,300, 02/R ,3,358,,,,,
464 Sa1 al¬Shash ,300, 02/R ,2.89,429,,,,,
465 Sa1 al¬Shash ,300, 04/R ,3.3,25,,,,,
466 Sa1 al¬Shash ,300, 04/R ,3.14,552,,,,,
467 Sa1 al¬Shash ,300, 04/R ,3.06,435,,,,,
468 Sa1 al¬Shash ,300, 06/R , 3.25 g ,174,,,,,
469 Sa1 al¬Shash ,300, 07/R , 1.48 f ,1063,,,,,
470 Sa1 al¬Shash ,300, 08/R ,3.49,367,,,,,
471 Sa1 al¬Shash ,300, 08/R ,3,502,,,,,
472 Sa1 alShash ,300, 08/R , 1.49 f ,835,,,,,
473 Sa1 al¬Shash ,300, 16/R , 1.49 f ,1368,,,,,
474 Sa1 al¬Shash ,300, 22/R ,3.39,61,,,,,
475 Sa1 al¬Shash ,300, 26/R ,3.09,85,,,,,
476 Sa1 alShash ,300, 26/R , 2.48 f ,1115,,,,,
477 Sa1 al¬Shash ,300, 27/R , 2.88 e ,562,,,,,
478 Sa1 al¬Shash ,301, 03/R ,2.94,166,,,,,
479 Sa1 al¬Shash ,301, 05/R ,3.46,108,,,,,
480 Sa1 al¬Shash ,301, 05/R ,2.85,93,,,,,
481 Sa1 alShash ,301, 06/R ,3.48,84,,,,,
482 Sa1 al¬Shash ,301, 08/R ,2.8,498,,,,,
483 Sa1 al¬Shash ,301, 09/R ,3.09,846,,,,,
484 Sa1 al¬Shash ,301, 09/R , 2.23 f , 1286. Rev: alMuqtadir billah/ Ahmad b Isma`il.,,,,,
,0,,,,,,,,
Nasr b. Ahmad,0,,,,,,,,
485 Sa1 Ba Andaraba ,296, 14/R17 , 1.73 f , 0868. Obv: Ahmad b Muhammad b Yahya. Rev: alMuqtadir billah/Nasr b Ahmad. Old obv die.,,,,,
486 Sa1 Andaraba ,302, 03/R04 ,3.06, 0529 Obv: alMuqtadir billah. Rev: Nasr b Ahmad.,,,,,
487 Sa1 Andaraba ,302, 03/R06 , 1.45 f ,714,,,,,
488 Sa1 Andaraba ,302, 06/R08 , 1.72 f , 0748. Obv: Ahmad. Rev: alMuqtadir billah.,,,,,
489 Sa1 Ba Andaraba ,302, 07/R10 , 1.58 f , 0652. Obv: Ahmad. Rev: alMuqtadir billah.,,,,,
490 Sa1 Ba Andaraba ,302, 11/R14 , 1.49 f , 0965. Obv: Ahmad. Rev: alMuqtadir billah.,,,,,
491 Sa1 Andaraba ,302, 15/R16 , 2.74 h , 0582. Obv: alqudra lillah. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
492 Sa1 Andaraba ,302, 16/R05 , 1.99 f , 0936. Obv: Ahmad. Rev: alMuqtadir billah.,,,,,
493 Sa1 Ba Andaraba ,303, 03/R02 ,3.65, 0476. Obv: Ahmad b Sahl. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
494 Sa1 Ba Andaraba ,304, 03/R18 ,3.11,315,,,,,
495 Sa1 Andaraba ,304, 05/R13 , 0.71 f ,1208,,,,,
496 Sa1 Ba Andaraba ,304, 07/R04 ,3.13,222,,,,,
497 Sa1 Ba Andaraba ,304, 07/R08 ,3.32,375,,,,,
498 Sa1 Ba Andaraba ,304, 08/R06 , 2.33 c ,100,,,,,
499 Sa1 Andaraba ,305, 01/R09 , 1.08 f ,808,,,,,
500 Sa1 Ba Andaraba ,305, 07/R15 , 2.57 c ,481,,,,,
501 Sa1 Andaraba ,305, 12/R09 , 1.04 f ,898,,,,,
502 Sa1 Ba Andaraba ,306, 07/R07 , 2.96 c ,123,,,,,
503 Sa1 Ba Andaraba ,306, 07/R09 ,2.92,457,,,,,
504 Sa1 Andaraba ,306, 07/R09 , 0.64 f ,790,,,,,
505 Sa1 Andaraba ,306, 10/R01 , 1.08 f ,984,,,,,
506 Sa1 Andaraba ,306, 10/R16 , 1.02 f ,1184,,,,,
507 Sa1 Andaraba ,306, 19/R24 , 2.41 f ,1055,,,,,
508 Sa1 Andaraba ,308, 03/R03 , 1.26 fh , 0657. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
509 Sa1 Andaraba ,308, 05/R04 , 1.61 f ,1259,,,,,
510 Sa1 Andaraba ,308, 11/R14 , 1.28 f ,1336,,,,,
511 Sa1 Andaraba ,308, 14/R13 , 2.35 f ,844,,,,,
512 Sa1 Andaraba ,309, 01/R03 , 0.75 f ,1135,,,,,
513 Sa2 Andaraba ,310, 10/R01 , 1.98 f ,1118,,,,,
514 Sa2 Andaraba ,310, 11/R06 , 1.02 f ,1306,,,,,
515 Sa2 Andaraba ,310, 02/R02 ,3.27,351,,,,,
516 Sa2 Andaraba ,310, 16/R ,3.36,36,,,,,
517 Sa2 Andaraba ,310, 08/R08 , 1.08 f ,772,,,,,
518 Sa2 Andaraba ,311, 1.47 f ,837,,,,,,
519 Sa2 Andaraba ,311, 01/R06 , 1.22 f ,1113,,,,,
520 Sa2 Andaraba ,314,2.88, 0297. Obv: Yusuf. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,,
521 Sa2 Andaraba ,314, 08/R06 , 3.11 g ,366,,,,,
522 Sa2 Andaraba ,314, 13/R10 , 1.38 f ,726,,,,,
523 Sa2 Andaraba ,31215, 04/R05 , 2.70 f , 0636. Obv: --. Rev: corrupt caliph/Nasr b Ahmad.,,,,,
524 Sa2 Andaraba ,315, 02/R02 , 1.79 fh , 1052. Obv: hasbi Allah. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
"525 Sa2 ""Andarba"" xx5 ",315, 02/R09 ,3, 0521. Type as preceding.,,,,,
526 Sa2 Andaraba ,315, ,3.22, 0277. Obv date written kha `ashara thalathmi'a. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
527 Sa2 Andaraba ,316, 04/R05 , 1.50 f , 1337. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
"528 Sa2 Andaraba ""300"" =310-20   ",0, 0946. Obv:--. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,,,
529 Sa2 Andaraba ,31020, 1.73 f , 1300. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,,
530 Sa2 Andaraba ,325, ,3.92, 0096. Obv: Nuh b Nasr/ Harb. Rev: alRadi billah/Nasr b Ahmad.,,,,,
531 Sa2 Andaraba ,32526, 02/R02 , 0.65 f , 1186. Obv: Nuh. Rev: alRadi billah/Nasr b Ahmad.,,,,,
532 Sa2 Andaraba ,31031, 1.63 f , 1345. Obv: --. Rev: caliph/Nasr b Ahmad.,,,,,,
533 Sa2 Andaraba ,31031, 0.97 f , 2h , 0964. Type as preceding.,,,,,
"534 Sa2 Andaraba ""300"" ",32031,2.95, 2h , 0587. Type as preceding.,,,,,
"535 Sa2 Andaraba ""300"" ",32031, 2.55 f , 0621. Obv: Nuh. Rev: L/M/RA/Allah/Nasr b Ahmad.,,,,,,
"536 Sa2 Andaraba ""300"" ",32031, 07/R08 , 2.93 h , 0567. Obv: Nuh. Rev: alMuqtadir billah/Nasr b Ahmad. Frozen type,,,,,
537 Sa2 Andaraba ,32031, 0.75 f , 1143. Obv: Nuh b Nasr. Rev: caliph/Nasr b Ahmad.,,,,,,
538 Sa2 Andaraba ND =327-331  ,0, 3.38 g , 0095. Obv: --. Rev: L/M/RA/Allah/Nasr b Ahmad.,,,,,,
539 Sa2 Andaraba ,32731, 1.68 f , 0935. Obv: unclear. Rev: caliph/Nasr b Ahmad.,,,,,,
540 Sa2 Balad ,311, 01/R03 , 1.14 fh ," 0603. This mint is Balad Andaraba ""Town of Andaraba"", by die linkage. Obv:--. Rev: alMuqtadir billah/Nasr b Ahmad.",,,,,
541 Sa2 Balad ,311, 01/R05 , 3.00 h , 0564. As preceding.,,,,,
542 Sa1 Balkh ,303, 0.74 f , 1216. Obv: Ahmad b Sahl. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,,
543 Sa1 Ba Balkh ,303, 03/R03 , 2.91 h , 0551. Obv: Ahmad b Sahl. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
544 Sa1 Ba Balkh ,306, 05/R05 ,3.12, 0517. Obv: Ahmad b Muhammad name clear. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
545 Sa1 Ba Balkh ,307, ,2.89, 0045. Obv: Ahmad b Sahl. alMuqtadir billah/Nasr b Ahmad.,,,,,
546 Sa1 Balkh ,308, , 1.51 f , 1364. Obv: alQudra lillah. Rev: L/M/R/A/Nasr b Ahmad no caliph.,,,,,
547 Sa2 Balkh ,312, 01/R02 ,3.15, 1382. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
548 Sa2 Balkh ,312, 01/R02 ,3.12,373,,,,,
549 Sa2 Balkh ,312, 07/R08 , 1.80 f ,765,,,,,
550 Sa2 Balkh ,313, , 1.51 f ,753,,,,,
551 Sa2 Balkh ,313, 02/R01 , 1.76 f ,1297,,,,,
552 Sa2 Balkh ,313, 04/R ,2.93,217,,,,,
553 Sa2 Balkh ,313, 05/R03 ,3.59,278,,,,,
554 Sa2 Balkh ,313, 14/R , 1.30 f ,1312,,,,,
555 Sa2 Balkh ,313, 14/R02 , 2.00 f ,744,,,,,
556 Sa2 Balkh ,313, 15/R14 , 1.16 fh ,987,,,,,
557 Sa2 Balkh ,314, , 0.91 f ,863,,,,,
558 Sa2 Balkh ,317, 01/R02 ,3.01, 0263. Obv: Qaratakin. alMuqtadir billah/Nasr b Ahmad.,,,,,
559 Sa2 Balkh ,317, 07/R06 ,4.7, 0456. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
560 Sa2 Balkh ,320, 04/R04 , 1.47 f , 1314. Obv: Nuh b Nasr. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
561 Sa2 Balkh ,320, 07/R01 , 1.41 f , 1096. As preceding.,,,,,
562 Sa2 Balkh ,321, 01/R02 , 1.49 f , 1275. Obv:--. Rev: alQahir billah/Nasr b Ahmad.,,,,,
563 Sa2 Balkh ,322, , 2.16 f , 0654 Obv:--. Rev: alQahir billah/Nasr b Ahmad.,,,,,
564 Sa2 Balkh ,323, 03/R04 , 1.32 f , 1212 Obv:--. Rev: alRadi billah/Nasr b Ahmad.,,,,,
565 Sa2 Balkh ,323, 07/R08 , 1.93 f , 1372. Obv: Nuh b Nasr. Rev: alRadi billah/Nasr b Ahmad/Bilkatakin.,,,,,
566 Sa2 Balkh ,323, 14/R14 , 1.84 f , 1305. As preceding.,,,,,
567 Sa2 Balkh ,323, 2.02 f , 0817. Obv: Nuh b Nasr. Rev: alRadi billah/Nasr b Ahmad/--.,,,,,,
568 Sa2 Balkh ,324, ,2.95, 0389. Obv: Nuh b Nasr/ Yusuf. Rev: alRadi billah/Nasr b Ahmad/Bilkatakin.,,,,,
569 Sa2 Balkh ,324, 05/R06 , 1.50 f , 1277. Obv: --. Rev: alRadi billah/Nasr b Ahmad/--.,,,,,
570 Sa2 Balkh ,32226, 1.54 f , 1255. Obv: Nuh b Nasr or Qarataki/Bilkatakin. Rev: alRadi billah/Nasr b Ahmad.,,,,,,
571 Sa2 Balkh ,32627, 0.65 f , 1198. Obv: Nuh b Nasr. Rev: alRadi billah/Nasr b Ahmad.,,,,,,
572 Sa2 Balkh ,327, 06/R06 , 1.22 f , 1178. Obv: Nuh. Rev: alRadi billah/Nasr b Ahmad.,,,,,
"573 Sa2 Balkh ""300"" ",32031, 1.31 f , 1085. Obv: Nuh b Nasr. Rev: caliph/Nasr b Ahmad.,,,,,,
574 Sa2 Farwan ,315, 03/R03 ,3.23, 0507. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
575 Sa2 Farwan ,323, 03/R03 ,2.95, 0526. Obv: --. Rev: alRadi billah. Nasr b Ahmad.,,,,,
576 Sa1 Ba no mint =Khuttal ,308, 02/R03 ,3.21, 0407. Obv: Ja`far b Ahmad. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
577 Sa2 al¬Khuttal ,313, 04/R04 , 2.94 gh , 0575. Obv: bakh. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
578 Sa2 al¬Khuttal ,313, 10/R10 ,2.96, 0276. Obv: --. Rev: alMuktafi billahsic/Isma`il b Ahmad sic.,,,,,
579 Sa2 al¬Khuttal ,313, 13/R13 , 1.78 f , 0640. Obv: --. Rev: alMUqtadir billah/Nasr b Ahmad.,,,,,
580 Sa2 Ba alKhuttal ,314, , 1.02 f , 0910. Obv: Ja`far b Ahmad. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
581 Sa2 al¬Khuttal ,314, 14/R14 , 3.58 h , 0242. Obv: --. Rev: L/M/R/A/Nasr b Ahmad no caliph.,,,,,
582 Sa1 Ma`din ,307, ,3.07, 0031. Obv: alQudra lillah. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
583 Sa2 Ba Ma`din ,310, 19/R18 ,2.99, 0327. Obv: Muhammad b Dawud. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
584 Sa2 Ma`din ,312, 01/R02 , 1.42 f , 0711. Obv: --. Rev: alMuqtadir billah. Nasr b Ahmad.,,,,,
585 Sa2 Ma`din ,315, , 1.23 f ,1322,,,,,
586 Sa2 Ma`din ,3159, 1.01 f ,661,,,,,,
587 Sa2 Ma`din ,319, , 1.60 f ,659,,,,,
588 Sa2 Ma`din ,31020, 1.43 f ,647,,,,,,
"589 Sa2 Ma`din ""300"" =310-320  ",0, 1.65 f ,1028,,,,,,
"590 Sa2 Ma`din ""300"" =310-320  ",0, 1.34 f ,729,,,,,,
591 Sa2 Ma`din ,320, , 1.10 f ,1229,,,,,
592 Sa2 Ma`din ,320, 05/R05 ,2.58,39,,,,,
593 Sa2 Ma`din ,322, ,3.19,418,,,,,
594 Sa2 Ma`din ,322, 01/R , 1.48 f , 1358. Obv: --. Rev: alMuqtadir billah sic/Nasr b Ahmad.,,,,,
595 Sa2 Ma`din ,32229, 1.89 fg , 2h , 0604. Obv:   . Rev: alRadi billah/Nasr b Ahmad.,,,,,
"596 Sa2 Ma`din ""300"" =320-31   ",0, 1296. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,,,
597 Sa1 Naysabur ,303, ,3.08, 0140. Obv: --. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
598 Sa1 Naysabur ,306, 05/R05 , 2.20 f , 1200. Obv: Ahmad. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
599 Sa1 Naysabur ,308, , 2.12 f , 0970. Obv: --. Rev: alMUqtadir billah/Nasr b Ahmad.,,,,,
600 Sa2 Naysabur ,321, 1.94 f , 1022. Obv: --. Rev: alQahir billah/Nasr b Ahmad.,,,,,,
601 Sa2 Naysabur ,322, 2.54 f , 0971 Obv: --. Rev: alQahir billah/Nasr b Ahmad.,,,,,,
602 Sa2 Naysabur ,323, , 0.65 f , 1033. Obv: --. Rev: alRadi billah. Nasr b Ahmad.,,,,,
603 Sa2 Naysabur ,323, 02/R02 ,2.82, 1386. As preceding.,,,,,
604 Sa2 Naysabur ,324, 03/R03 , 1.11 f , 0849. As preceding.,,,,,
605 Sa2 Naysabur ,328, 02/R02 , 1.13 f , 1189 As preceding.,,,,,
606 Sa2 Naysabur ,32229, 326-7   , 1.16 f , 0750. Type as preceding. Engraver's signature al-H.ârith Bah.ârith at , 1 o'clock in outer obverse margin.,,,,
607 Sa2 Naysabur ,329, ,2.69, 0414. Obv: --. Rev: alRadi billah/Nasr b Ahmad.,,,,,
608 Sa2 Naysabur ,331, 11/R11 New dies. ,3.96, 0341 Obv: --. Rev: alMuttaqi lillah/Nasr b Ahmad.,,,,,
609 Sa1 Samarqand ,299, 12/R , 1.55 f , 1105. Obv: bakh. Rev: alMuqtadir billah/Nasr b Ahmad.,,,,,
610 Sa1 Samarqand ,301, 04/R  N , 1.25 f ,1167,,,,,
611 Sa1 Samarqand ,302, 01/R , 1.90 f ,632,,,,,
612 Sa1 Samarqand ,302, 02/R , 1.45 f ,1084,,,,,
613 Sa1 Samarqand ,302, 02/R , 1.26 f ,1263,,,,,
614 Sa1 Samarqand ,302, 03/R , 1.29 f ,1157,,,,,
