STuff1,Date,Stuff2,Stuff3,,,,,,
81 Ab3 Shiraz ,313, 1.67 f ,911,,,,,,
82 Ab3 Shiraz ,317, 1.30 f ,1021,,,,,,
83 Ab3 Shiraz ,318, 1.37 f ,1191,,,,,,
84 Ab3 Shiraz ,297320, 0.80 f ,1344,,,,,,
85 Ab3 Surra man ra'a ,297320, 1.21 f ,810,,,,,,
86 Ab3 Wasit ,29799, 1.91 f h ,598,,,,,,
87 Ab3 mint ,2959, 1.11 f ,871,,,,,,
88 Ab3 mint ,308, 1.22 f ,851,,,,,,
89 Ab3 mint ,313, 1.57 f ,860,,,,,,
90 Ab3 mint ,30020, 1.62 f ,1329,,,,,,
,0,,,,,,,,
alQahir,0,,,,,,,,
91 Ab3 Isbahan ,321,3.07,209,,,,,,
92 Ab3 Shiraz ,322,3.04, 0124. Obv: Abu lQasim b/amir al¬Mu'minin. Rev: al¬Qahir billah/alMuntaqim min a`da'/allah liDin al¬lah; Last Abbasid issue at Shiraz before the Buyids took over the mint in the same year.,,,,,,
93 Ab3 mint ,321,2.95,314,,,,,,
,0,,,,,,,,
alRadi,0,,,,,,,,
94 Ab3 alBasra ,322,3.09,365,,,,,,
95 Ab3 al¬Basra ,327,4.37,432,,,,,,
96 Ab3 AU Madinat al¬Salam ,329,2.86, 0558. Obv: Abu lFadl b/amir al¬Mu'minin. Rev: al¬Radi billah/Abu lHusayn Bajkam/mawlahu.,,,,,,
97 Ab3 Tustarmin al¬Ahwaz ,32229,3.46,203,,,,,,
98 Ab3 Wasit ,323,3.49,210,,,,,,
99 Ab3 Wasit ,323, 2.53 f ,731,,,,,,
100 Ab3 mint ,329, 2.61 e , 1039. Obv: Abu lHusayn Bajkam/ mawla amir al¬Mu'minin. Rev: al¬Radi billah.,,,,,,
,0,,,,,,,,
alMuttaqi,0,,,,,,,,
101 Ab3 al¬Basra ,330,3.85,538,,,,,,
102 Ab3 Ha Madinat al¬Salam ,331, 2.54 fg , 0771. Obv: Abu Mansur b/amir al¬Mu'minin/Sayf al¬Dawla/Abu lHasan. Rev: al¬Muttaqi lillah/Nasir al¬Dawla/Abu Muhammad.,,,,,,
103 Ab3 mint ,32933, 1.33 f ,1362,,,,,,
104 Ab3 mint ,32933, 1.31 f ,920,,,,,,
105 Ab3 mint ,3303, 1.16 f ,869,,,,,,
,0,,,,,,,,
caliph,0,,,,,,,,
106 Ab3 mint ,27999, 0.86 f ,1030,,,,,,
,0,,,,,,,,
HAMDANID,0,,,,,,,,
Sayf al¬Dawla & Nasir al¬Dawla,0,,,,,,,,
107 Ha al¬Mawsil ,337,3.52, 0482. Obv: Sayf al¬Dawla/Abu l Hasan. Rev: al¬Muti` lillah/Nasir al¬Dawla/Abu Muhammad.,,,,,,
,0,,,,,,,,
WAJIHID,0,,,,,,,,
Yusuf b. Wajih,0,,,,,,,,
108 Wa `Uman ,321, , 1.71 f , 1339. Obv: Yusuf b Wajih. Rev: al¬Qahir billah.,,,,,
,0,,,,,,,,
KHUJISTANID,0,,,,,,,,
Ahmad b. `Abdallah,0,,,,,,,,
109 Kj al¬ Naysabur/Harat ,2678, 2.66 f , 2h , 0600. Obv: al¬Wafiyy Ahmad b `Abdallah. Rev: al¬Mu`tamid `ala llah.,,,,,
,0,,,,,,,,
SAFFARID,0,,,,,,,,
`Amr b. al¬Layth,0,,,,,,,,
110 Sf1 Shiraz ,281, 3.17 g , 0346. Obv: `Amr b al¬Layth. Rev: al¬Mu`tadid billah.,,,,,,
,0,,,,,,,,
Tahir b. Muhammad,0,,,,,,,,
111 Sf1 Shiraz ,290, 1.01 f , 0703. Obv: Tahir b Muhammad. Rev: alMuktafi billah.,,,,,,
,0,,,,,,,,
Ahmad b. Muhammad,0,,,,,,,,
112 Sf2 Sijistan ,324, , 2.20 f , 0979. Obv: Abu Ja`far. Rev: al¬Radi billah/Ahmad b Muhammad.,,,,,
,0,,,,,,,,
BUWAYHID,0,,,,,,,,
`Imad al¬Dawla `Ali b Buya,0,,,,,,,,
113 Bw Arrajan ,324, 05/R01 , 1.29 f , 1153. Obv: `Ali b Buya. Rev: al¬Radi billah.,,,,,
114 Bw Arrajan ,327, 01/R02 ,3.54,226,,,,,
115 Bw Arrajan ,327, 01/Rnew , 2.19 f ,1340,,,,,
116 Bw Arrajan ,335, 02/Rnew ,3.56, 0056. Obv: `Imad al¬Dawla/ Abu lHasan. Rev: al¬Muti` lillah.,,,,,
